,userID,artistID,weight
20421,443,174,786
53805,1197,325,744
37744,826,2009,18
53263,1186,302,810
27009,586,4271,3625
90748,2052,1358,3151
79559,1799,89,470
35868,785,234,71
18025,392,459,53
80090,1809,1974,229
21869,474,39,1491
1865,41,843,637
40441,889,6108,832
62090,1396,1337,191
45899,1019,289,233
51750,1152,599,108
41175,908,3190,44
13581,295,1261,641
28863,632,913,683
4466,95,89,309
7548,158,3483,2146
14301,310,5528,153
71253,1606,325,762
68157,1535,532,551
84847,1919,227,35
87121,1973,930,2091
57405,1284,2671,1277
35117,765,2268,373
61593,1384,1239,291
81376,1838,65,304
68312,1538,602,15
76051,1718,1427,190
32197,702,295,1326
80841,1826,506,700
63209,1424,1242,439
30152,660,9018,138
26653,579,1274,321
27021,586,8328,128
5845,123,3025,6756
87996,1992,434,668
61569,1384,53,194
43185,955,55,2352
25939,563,8130,411
24339,529,2569,605
18696,405,6565,337
30810,673,8810,220
78531,1778,475,593
67425,1517,903,2321
41436,913,1090,1585
78167,1770,4029,419
18001,392,67,48
60581,1363,537,2846
84657,1914,1425,470
63263,1425,5048,236
63626,1433,7655,438
66646,1500,172,197
18345,398,1977,132
84405,1908,253,163
9019,193,2271,770
17421,376,2744,427
43200,955,715,378
3125,66,993,611
22225,481,292,516
41767,921,2227,1191
68482,1541,14639,28
63403,1428,917,628
41949,925,11084,1807
15305,331,5759,88
24758,537,1447,22
39050,854,830,236
39912,876,1083,166
69222,1559,4474,425
32376,705,8361,682
54913,1224,583,85
45556,1010,3859,3
88804,2009,629,592
14113,306,51,76
19947,433,6802,603
62285,1402,172,56
17219,370,599,1015
51601,1149,172,12
85666,1937,971,386
26281,571,2977,510
92566,2094,5266,1197
10812,233,461,835
63655,1434,302,19898
78356,1774,16597,34
34302,747,1197,545
61414,1380,3464,255
86217,1951,7743,258
81278,1835,89,30
70829,1595,72,5234
14857,321,5670,52
30881,675,288,1041
87491,1981,689,126
24765,537,2098,21
16191,349,5968,357
30264,662,7898,739
86261,1952,2460,191
88583,2005,81,835
76987,1741,210,1061
62389,1404,227,508
75506,1704,3302,33
54377,1212,233,1673
67415,1517,332,1297
19642,426,1383,381
20258,439,6896,981
86005,1947,716,59
82432,1861,9805,186
72297,1632,386,140
29971,656,8995,21
89493,2024,225,12
88790,2009,207,511
39307,860,2006,376
71918,1623,2458,829
52221,1161,10582,838
68067,1533,575,1630
88125,1994,5926,85
67483,1518,14523,756
17541,378,2346,1151
14940,324,2342,3440
36401,795,701,380
60606,1363,2441,1520
72361,1633,913,254
74065,1671,13123,383
53077,1182,2574,569
39974,877,1529,370
17264,371,1788,312
71079,1601,16,236
59396,1333,1502,249
7861,166,3675,82
15941,344,5917,1
84370,1907,17509,266
88599,2005,11211,430
54333,1211,6780,81
23218,502,915,310
86722,1963,1694,1130
23558,510,7616,21
80078,1809,1206,1064
57581,1288,13702,105
82546,1863,2025,161
51859,1154,4126,1312
85715,1938,2463,441
83563,1889,2265,694
44097,977,377,44
35343,771,7259,9
81656,1844,1090,561
74472,1682,1378,779
38771,848,3685,550
63518,1430,5099,79
8677,185,864,129
8497,181,3836,91
11912,258,329,2
44513,986,1200,68
52133,1159,4428,266
28827,632,89,3426
86171,1950,1424,1272
72242,1630,604,831
57320,1282,3756,179
45468,1009,229,141
13492,293,5306,684
35281,770,386,662
81373,1838,55,1043
47373,1052,5746,159
2938,62,961,118
58887,1321,735,262
32145,700,331,495
66201,1491,236,202
76281,1723,57,44
22161,479,913,20
47465,1054,4230,1100
47271,1050,3694,771
16059,347,726,212
50852,1132,289,19348
54886,1223,1519,710
85805,1941,2121,207
45733,1015,11804,142
46143,1024,198,3969
89654,2028,2670,179
61016,1372,10208,145
14759,319,5647,268
28928,634,184,350
85823,1941,13468,2347
17465,377,923,1581
44341,982,229,62
41226,909,536,303
86728,1963,4918,172
79538,1798,1121,29
56465,1262,4879,1
23937,518,306,59
80119,1810,3461,1
79308,1794,173,68
48888,1085,12206,371
49621,1102,1097,904
74307,1678,466,113
22467,487,471,133
48711,1082,2000,427
16589,357,6035,791
3052,64,1840,168
64716,1457,458,484
71906,1623,1116,1547
11472,249,968,462
73001,1648,306,57
80222,1813,16832,147
45139,1002,299,110
53827,1197,1590,900
17991,391,6443,268
43090,953,229,100
331,8,348,504
80412,1817,16846,785
34873,760,4087,399
15869,343,857,69
58327,1305,302,246
10639,229,3542,3
34228,745,9755,603
18456,401,412,455
60987,1372,441,187
82552,1863,17206,62
