,precision,recall,ndcg
0,0.0006376195536663124,0.0006376195536663125,0.0006001556114909956
10,0.08204038257173218,0.08403357623602044,0.10341764027412054
20,0.106163655685441,0.10825067894674696,0.13094216542822748
30,0.12013815090329437,0.12296147293490543,0.14766021323293416
40,0.12784272051009565,0.13076851711283166,0.1571679287326366
50,0.13358129649309244,0.13650709309582848,0.16390317318811595
60,0.13878852284803397,0.1418897491692391,0.16983618479729015
70,0.14256110520722637,0.14544979167720934,0.17442980047400836
80,0.14702444208289056,0.15014844053101226,0.17898868896726475
90,0.15031880977683318,0.1534369043401987,0.18277646001186096
100,0.15276301806588735,0.1558737327733077,0.1860005107510943
0,0.0006110520722635496,0.0012280080292832688,0.0009221052464068811
10,0.06259298618490967,0.12805568206737175,0.12743832636726612
20,0.07555791710945801,0.15416540154850464,0.15604911169660238
30,0.08475026567481402,0.1727670664440059,0.17519005505293708
40,0.09149840595111584,0.18634431455897985,0.1878828941440238
50,0.09636025504782146,0.19607222981293118,0.19684010829191223
60,0.1,0.20335171971728824,0.2038348829329143
70,0.10255047821466524,0.20842990401970213,0.20937135219596226
80,0.10563230605738579,0.2146517551405968,0.21485627016117215
90,0.10783740701381508,0.21906195705345546,0.21926031392024228
100,0.10969713071200851,0.223224195806555,0.22323362449893086
0,0.0006110520722635496,0.0012280080292832688,0.0009221052464068811
10,0.06259298618490967,0.12805568206737175,0.12743832636726612
20,0.07555791710945801,0.15416540154850464,0.15604911169660238
30,0.08475026567481402,0.1727670664440059,0.17519005505293708
40,0.09149840595111584,0.18634431455897985,0.1878828941440238
50,0.09636025504782146,0.19607222981293118,0.19684010829191223
60,0.1,0.20335171971728824,0.2038348829329143
70,0.10255047821466524,0.20842990401970213,0.20937135219596226
80,0.10563230605738579,0.2146517551405968,0.21485627016117215
90,0.10783740701381508,0.21906195705345546,0.21926031392024228
100,0.10969713071200851,0.223224195806555,0.22323362449893086
